"Irrigation crop patterns in Sogd Province, growing season 2018",,,,,,,,,,,,,,
Site (district),"Irrigation area, gross",Net irrigated area,Industrial crops,,Grain,,Vegetables and cucurbits,Fodder crops,Perennial crops,,Homestead plots,Other,Rice,Fallow land
,,,Total*,Cotton,Total**,Wheat,,,Orchards,Grapes,,,,
,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha
Isfara,,6968.4,,2050.5,17.3,11.1,3.1,16,4700.1,,60.5,50.6,0.4,535.8
Jabbor Rasulov,,8360.9,,7781.2,205.9,133.2,36.3,0,175.1,,63.7,65.3,332.4,261
Asht,,10566.7,,8586.6,116,77.9,19,0,2025.7,,112.4,57.3,2.7,706.2
Konibodom,,15327.7,,10455.8,106.1,91.5,7.3,0,4137.6,,165.4,129,12.8,948.4
Zafarobod,,17657.4,,16244.4,588.9,377.5,105.7,0,97.5,,41.6,99.5,15.1,1274.7
Spitamen,,11237.5,,9026.6,475.1,308.7,83.2,0,54.8,,112.1,174.4,1457.4,849.4
B.Ghafurov,,24025.1,,14086.6,1310.5,841.4,234.6,0,4326.8,,435.3,699.1,1627.2,3556.8
Mastchoh,,21248.5,,20083.7,395.9,258,68.9,0,49,,162.5,174,446.9,541.9
Istaravshan,,2907.5,,432,0,0,0,0,116.7,,55.7,36.8,0,2699.1
Ghonchi,,161.7,,0,0,0,0,0,0,,4.7,0,0,184.8
Panjakent,,4065.9,,831.7,2.6,1.7,0.5,0,1896,,154.4,19.6,4.1,1808.4
"*Cotton, oil crops, tobacco",,,,,,,,,,,,,,
"**Wheat, corn",,,,,,,,,,,,,,
